,Unid. da Federação,Renda per capita,Tem telefone móvel celular,Para acessar à Internet utiliza-se telefone celular,Tem microcomputador,Para acessar à Internet utiliza-se microcomputador,Tem tablet,Para acessar à Internet utiliza-se tablet,Tem acesso à Internet no próprio domicilio,O acesso à Internet é feito através de sinal de rede celular 3G ou 4G,O acesso à Internet é feito através de conexão discada por linha telefônica,O acesso à Internet é feito por banda larga
65505,MG,525.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65506,MG,600.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65507,MG,4100.0,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim
65508,MG,750.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65510,MG,2050.0,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim
65511,MG,1115.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
65513,MG,1713.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65514,MG,788.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65516,MG,1950.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim
65517,MG,2262.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65518,MG,844.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65521,MG,121.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65522,MG,394.0,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não
65524,MG,1997.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
